bwv,title,key
001,Wie schön leuchtet der Morgenstern,F major
002,"Ach Gott, vom Himmel sieh darein",G minor
003,"Ach Gott, wie manches Herzeleid",A major
004,Christ lag in Todesbanden,E minor
005,Wo soll ich fliehen hin,G minor
006,"Bleib bei uns, denn es will Abend werden",C minor
007,Christ unser Herr zum Jordan kam,E minor
008,"Liebster Gott, wenn werd ich sterben?",E major
009,Es ist das Heil uns kommen her,E major
010,Meine Seel erhebt den Herren,G minor
011,Lobet Gott in seinen Reichen (Himmelfahrts-Oratorium),D major
012,"Weinen, Klagen, Sorgen, Zagen",F major
013,"Meine Seufzer, meine Tränen",D minor
014,WarWär Gott nicht mit uns diese Zeit,G major
015,Denn du wirst meine Seele nicht in der Hölle lassen,C major
016,"Herr Gott, dich loben wir",A minor
017,"Wer Dank opfert, der preiset mich",A major
018,Gleichwie der Regen und Schnee vom Himmel fällt,G minor
019,Es erhub sich ein Streit,C major
020,"O Ewigkeit, du Donnerwort",F major
021,Ich hatte viel Bekümmernis,C minor
022,Jesus nahm zu sich die Zwölfe,G minor
023,Du wahrer Gott und Davids Sohn,C minor
024,Ein ungefärbt Gemüte,F major
025,Es ist nichts Gesundes an meinem Leibe,E minor
026,"Ach wie flüchtig, ach wie nichtig",A minor
027,"Wer weiss, wie nahe mir mein Ende",C minor
028,Gottlob! nun geht das Jahr zu Ende,A minor
029,"Wir danken dir, Gott, wir danken dir",D major
030,"Freue dich, erlöste Schar",D major
030a,Angenehmes Wiederau,D major
031,Der Himmel lacht! die Erde jubiliert,C major
032,"Liebster Jesu, mein Verlangen",E minor
033,"Allein zu dir, Herr Jesu Christ",A minor
034,"O ewiges Feuer, o Ursprung der Liebe",D major
034a,"O ewiges Feuer, o Ursprung der Liebe",D major
035,Geist und Seele wird verwirret,D minor
036,Schwingt freudig euch empor,D major
036a,Steigt freudig in die Luft,
036b,Die Freude reget sich,D major
036c,Schwingt freudig euch empor,D major
037,Wer da glaubet und getauft wird,A major
038,Aus tiefer Not schrei ich zu dir,E minor
039,Brich dem Hungrigen dein Brot,G minor
040,Dazu ist erschienen der Sohn Gottes,F major
041,"Jesu, nun sei gepreiset",C major
042,Am Abend aber desselbigen Sabbats,D major
043,Gott fähret auf mit Jauchzen,C major
044,Sie werden euch in den Bann tun,G minor
045,"Es ist dir gesagt, Mensch, was gut ist",E major
046,Schauet doch und sehet,D minor
047,Wer sich selbst erhöhet,G minor
048,"Ich elender Mensch, wer wird mich erlösen",G minor
049,Ich geh' und suche mit Verlangen,E major
050,Nun ist das Heil und die Kraft,D major
051,Jauchzet Gott in allen Landen,C major
052,"Falsche Welt, dir trau ich nicht",F major
053,"Schlage doch, gewünschte Stunde",E major
054,Widerstehe doch der Sünde,E♭ major
055,"Ich armer Mensch, ich Sündenknecht",G minor
056,Ich will den Kreuzstab gerne tragen,G minor
057,Selig ist der Mann,G minor
058,"Ach Gott, wie manches Herzeleid",C major
059,"Wer mich liebet, der wird mein Wort halten",C major
060,"O Ewigkeit, du Donnerwort (Dialogue zwischen Furcht und Hoffnung)",D major
061,"Nun komm, der Heiden Heiland",A minor
062,"Nun komm, der Heiden Heiland",B minor
063,"Christen, ätzet diesen Tag",C major
064,"Sehet, welch eine Liebe",E minor
065,Sie werden aus Saba alle kommen,C major
066,"Erfreut euch, ihr Herzen",D major
066a,Der Himmel dacht auf Anhalts Ruhm und Glück,
067,Halt im Gedächtnis Jesum Christ,A major
068,Also hat Gott die Welt geliebt,D minor
069,"Lobe den Herrn, meine Seele",D major
069a,"Lobe den Herrn, meine Seele",D major
070,"Wachet, betet, seid bereit allezeit!",C major
070a,"Wachet, betet, seid bereit allezeit!",C major
071,Gott ist mein König,C major
072,Alles nur nach Gottes Willen,A minor
073,"Herr, wie du willt, so schick's mit mir",G minor
074,"Wer mich liebet, der wird mein Wort halten",C major
075,Die Elenden sollen essen,E minor
076/1,Die Himmel erzählen die Ehre Gottes,C major
076/2,Die Himmel erzählen die Ehre Gottes,C major
077,"Du sollt Gott, deinen Herren, lieben",C major
078,"Jesu, der du meine Seele",G minor
079,Gott der Herr ist Sonn und Schild,G major
080,Ein feste Burg ist unser Gott,D major
080a,"Alles, was von Gott geboren",D major
080b,Ein feste Burg ist unser Gott,
081,"Jesus schläft, was soll ich hoffen?",E minor
082,Ich habe genug,C minor
083,Erfreute Zeit im neuen Bunde,F major
084,Ich bin vergnügt mit meinem Glücke,E minor
085,Ich bin ein guter Hirt,C minor
086,"Wahrlich, wahrlich, ich sage euch",E major
087,Bisher habt ihr nichts gebeten in meinem Namen,D minor
088,"Siehe, ich will viel Fischer aussenden",D major
089,"Was soll ich aus dir machen, Ephraim",C minor
090,Es reißet euch ein schrecklich Ende,D minor
091,"Gelobet seist du, Jesu Christ",G major
092,Ich hab in Gottes Herz und Sinn,B minor
093,Wer nur den lieben Gott lässt walten,C minor
094,Was frag ich nach der Welt,D major
095,"Christus, der ist mein Leben",G major
096,"Herr Christ, der einge Gottessohn",F major
097,In allen meinen Taten,B♭ major
098,"Was Gott tut, das ist Wohlgethan",B♭ major
099,"Was Gott tut, das ist wohlgetan",G major
100,"Was Gott tut, das ist wohlgetan",G major
101,"Nimm von uns, Herr, du treuer Gott",D minor
102,"Herr, deine Augen sehen nach dem Glauben",G minor
103,Ihr werdet weinen und heulen,B minor
104,"Du Hirte Israel, höre",G major
105,"Herr, gehe nicht ins Gericht mit deinem Knecht",G minor
106,Gottes Zeit ist die allerbeste Zeit (Actus Tragicus),E♭ major
107,Was willst du dich betrüben,B minor
108,"Es ist euch gut, daß ich hingehe",A major
109,"Ich glaube, lieber Herr",D minor
110,Unser Mund sei voll Lachens,D major
111,"Was mein Gott will, das g'scheh allzeit",A major
112,Der Herr ist mein getreuer Hirt,G major
113,"Herr Jesu Christ, du höchstes Gut",B minor
114,"Ach, lieben Christen, seid getrost",G minor
115,"Mache dich, mein Geist, bereit",G major
116,"Du Friedefürst, Herr Jesu Christ",A major
117,Sei Lob und Ehr dem höchsten Gut,G major
118,"O Jesu Christ, mein's Lebens Licht",B♭ major
119,"Preise, Jerusalem, den Herren",C major
120,"Gott, man lobet dich in der Stille",A major
120a,"Herr Gott, Beherrscher aller Dinge",D major
120b,"Gott, man lobet dich in der Stille",
121,Christum wir sollen loben schon,E minor
122,Das neugeborne Kindelein,G minor
123,"Liebster Immanuel, Herzog der Frommen",B minor
124,Meinen Jesum lass ich nicht,E major
125,Mit Fried und Freud ich fahr dahin,E minor
126,"Erhalt uns, Herr, bei deinem Wort",A minor
127,"Herr Jesu Christ, wahr' Mensch und Gott",F major
128,Auf Christi Himmelfahrt allein,G major
129,"Gelobet sei der Herr, mein Gott",D major
130,"Herr Gott, dich loben alle wir",C major
131,"Aus der Tiefe rufe ich, Herr, zu dir",G minor
131a,Fugue,G minor
132,"Bereitet die Wege, bereitet die Bahn",A major
133,Ich freue mich in dir,D major
134,"Ein Herz, das seinen Jesum lebend weiß",B♭ major
134a,"Die Zeit, die Tag und Jahre macht",B♭ major
135,"Ach Herr, mich armen Sünder",E minor
136,"Erforsche mich, Gott, und erfahre mein Herz",A major
137,"Lobe den Herren, den mächtigen König der Ehren",C major
138,"Warum betrübst du dich, mein Herz",B minor
139,"Wohl dem, der sich auf seinen Gott",E major
140,"Wachet auf, ruft uns die Stimme",E♭ major
141,Das ist je gewisslich wahr,G major
142,Uns ist ein Kind geboren,A minor
143,"Lobe den Herrn, meine Seele",B♭ major
144,"Nimm, was dein ist, und gehe hin",B minor
145,"Ich lebe, mein Herze, zu deinem Ergötzen",D major
146,Wir müssen durch viel Trübsal in das Reich Gottes eingehen,D minor
147,Herz und Mund und Tat und Leben,C major
147a,Herz und Mund und Tat und Leben,
148,Bringet dem Herrn Ehre seines Namens,D major
149,Man singet mit Freuden vom Sieg,D major
150,"Nach dir, Herr, verlanget mich",B minor
151,"Süsser Trost, mein Jesus kömmt",G major
152,Tritt auf die Glaubensbahn,
153,"Schau, lieber Gott, wie meine Feind",A minor
154,Mein liebster Jesus ist verloren,B minor
155,"Mein Gott, wie lang, ach lange",D minor
156,Ich steh mit einem Fuß im Grabe,F major
157,"Ich lasse dich nicht, du segnest mich denn!",B minor
157a,"Ich lasse dich nicht, du segnest mich denn!",B minor
158,Der Friede sei mit dir,D major
158a,Der Friede sei mit dir,D major
159,"Sehet, wir geh'n hinauf gen Jerusalem",C minor
160,"Ich weiss, dass mein Erlöser lebt",C major
161,"Komm, du süsse Todesstunde",C major
162,"Ach! ich sehe, itzt, da ich zur Hochzeit gehe",A minor
163,Nur jedem das Seine,B minor
164,"Ihr, die ihr euch von Christo nennet",G minor
165,O heilges Geist- und Wasserbad,G major
166,Wo gehest du hin,B♭ major
167,"Ihr Menschen, rühmet Gottes Liebe",G major
168,Tue Rechnung! Donnerwort,B minor
169,Gott soll allein mein Herze haben,D major
170,"Vergnügte Ruh, beliebte Seelenlust",D major
171,"Gott, wie dein Name, so ist auch dein Ruhm",D major
172/1,"Erschallet, ihr Lieder",D major
172/2,"Erschallet, ihr Lieder",C major
173,Erhöhtes Fleisch und Blut,D major
173a,Durchlauchtster Leopold,D major
